league_name,level_category_points,league_points_f13
denmark-u20,82.45454545,2400.0
denmark-w,90.72727273,3100.0
denmark2,82.45454545,2400.0
denmark2-w,82.45454545,2400.0
denmark3,78.31818182,2000.0
ndhl-w,70.04545455,1400.0
wjc-18-d1a-w,8.0,0.0
buiha,65.90909091,1200.0
eihl,70.04545455,1400.0
england-u16,57.63636364,800.0
england-u16-2,53.5,600.0
england-u19,65.90909091,1200.0
england-u19-2,61.77272727,1000.0
england-u19-3,57.63636364,800.0
nihl,70.04545455,1400.0
nihl-1,65.90909091,1200.0
nihl-2,61.77272727,1000.0
not-covered-w,65.90909091,1200.0
snl,57.63636364,800.0
wnihl-1-w,65.90909091,1200.0
wnihl-2-w,61.77272727,1000.0
wnihl-elite-w,70.04545455,1400.0
wnihl-u16-w,61.77272727,1000.0
estonia,70.04545455,1400.0
estonia-other,57.63636364,800.0
estonia-w,70.04545455,1400.0
estonia2,65.90909091,1200.0
latvia,86.59090909,2800.0
u16-sm-sarja,61.77272727,1000.0
wjc-20-d1b,78.31818182,2000.0
auroraliiga-w,94.86363636,3600.0
fcaa,70.04545455,1400.0
finnish-juniors,74.18181818,1700.0
ii-divisioona,82.45454545,2400.0
iii-divisioona,78.31818182,2000.0
iv-divisioona,74.18181818,1700.0
liiga,94.86363636,3600.0
mestis,90.72727273,3100.0
mestis-w,90.72727273,3100.0
suomi-sarja,86.59090909,2800.0
suomi-sarja-w,86.59090909,2800.0
u16-mestis,65.90909091,1200.0
u16-suomi-sarja,61.77272727,1000.0
u17-alempi,70.04545455,1400.0
u17-ii-divisioona,70.04545455,1400.0
u17-suomi-sarja,74.18181818,1700.0
u17-ylempi,70.04545455,1400.0
u18-ii-divisioona,65.90909091,1200.0
u18-iii-divisioona,65.90909091,1200.0
u18-mestis,74.18181818,1700.0
u18-sm-sarja,78.31818182,2000.0
u18-suomi-sarja,70.04545455,1400.0
u19-alempi,78.31818182,2000.0
u19-ii-divisioona,74.18181818,1700.0
u19-suomi-sarja,82.45454545,2400.0
u19-ylempi,78.31818182,2000.0
u20-aluedivisioona,74.18181818,1700.0
u20-alueliiga,74.18181818,1700.0
u20-aluesarja,70.04545455,1400.0
u20-iii-divisioona,65.90909091,1200.0
u20-mestis,82.45454545,2400.0
u20-sm-sarja,86.59090909,2800.0
u20-suomi-sarja,78.31818182,2000.0
u22-ylempi,82.45454545,2400.0
v-divisioona,70.04545455,1400.0
france-other,70.04545455,1400.0
france-u18,74.18181818,1700.0
france-u18-2,70.04545455,1400.0
france-u20,82.45454545,2400.0
france-u20-2,78.31818182,2000.0
france-w,86.59090909,2800.0
france2,82.45454545,2400.0
france3,78.31818182,2000.0
france4,74.18181818,1700.0
ligue-magnus,86.59090909,2800.0
wsi-u13-aaa,57.63636364,800.0
yog-w,70.04545455,1400.0
georgia,70.04545455,1400.0
del,90.72727273,3100.0
del2,86.59090909,2800.0
dfel-w,90.72727273,3100.0
dnl-u20,86.59090909,2800.0
dnl-u20-2,78.31818182,2000.0
dnl-u20-3,74.18181818,1700.0
germany-other,65.90909091,1200.0
germany-u15,65.90909091,1200.0
germany-u15-3,57.63636364,800.0
germany-u15-4,53.5,600.0
germany-u15-other,49.36363636,500.0
germany-u17,74.18181818,1700.0
germany-u17-2,70.04545455,1400.0
germany-u17-3,65.90909091,1200.0
germany-u17-5,57.63636364,800.0
germany-u17-other,53.5,600.0
germany-u20-4,70.04545455,1400.0
germany-u20-5,65.90909091,1200.0
germany3,82.45454545,2400.0
germany4,78.31818182,2000.0
germany4-w,78.31818182,2000.0
germany5,74.18181818,1700.0
germany6,70.04545455,1400.0
swissdiv3,82.45454545,2400.0
greece,61.77272727,1000.0
ccoa-d1-w,8.0,0.0
cihl-hk,61.77272727,1000.0
hong-kong,61.77272727,1000.0
wc-d3b,8.0,0.0
wjc-20-d3b,74.18181818,1700.0
andersen-liga-ob2,70.04545455,1400.0
cjhl-u16,57.63636364,800.0
erste-liga,74.18181818,1700.0
hungary-other,61.77272727,1000.0
hungary-u18,65.90909091,1200.0
hungary-u21,70.04545455,1400.0
wjc-18-d1a,74.18181818,1700.0
iceland,70.04545455,1400.0
iceland-u16,57.63636364,800.0
iceland-u18,65.90909091,1200.0
iceland-w,70.04545455,1400.0
ccoa-u18,49.36363636,500.0
ccoa-u20,53.5,600.0
ccoa-w,57.63636364,800.0
ccoa,57.63636364,800.0
indonesia,53.5,600.0
iran,53.5,600.0
iran-w,53.5,600.0
iehl,57.63636364,800.0
israel,61.77272727,1000.0
israel-u20,57.63636364,800.0
israel2,53.5,600.0
israel3,49.36363636,500.0
exhibition,74.18181818,1700.0
italy-u16,65.90909091,1200.0
italy-u19,78.31818182,2000.0
italy-w,86.59090909,2800.0
italy2,82.45454545,2400.0
italy3,78.31818182,2000.0
wc-d1a,8.0,0.0
asia-league,70.04545455,1400.0
j-ice-north,61.77272727,1000.0
j-ice-west,61.77272727,1000.0
japan,70.04545455,1400.0
japan-w,70.04545455,1400.0
jp-univ,61.77272727,1000.0
jphs,57.63636364,800.0
jpjhs,57.63636364,800.0
kazakhstan,78.31818182,2000.0
kazakhstan-jastar,86.59090909,2800.0
kazakhstan-other,61.77272727,1000.0
kazakhstan-u16,65.90909091,1200.0
kazakhstan-u16-2,61.77272727,1000.0
kazakhstan-u17,70.04545455,1400.0
kazakhstan-w,78.31818182,2000.0
kazakhstan2,74.18181818,1700.0
russia-u17,74.18181818,1700.0
russia-u18,78.31818182,2000.0
wc-d1b-w,8.0,0.0
wjc-18-d2a-w,8.0,0.0
ccoa-u20-d1,53.5,600.0
kuwait-w,53.5,600.0
ccoa-d1,49.36363636,500.0
baltic-w,86.59090909,2800.0
latvia-other,74.18181818,1700.0
latvia-u17,70.04545455,1400.0
latvia2,74.18181818,1700.0
lithuania,70.04545455,1400.0
lithuania-u17,61.77272727,1000.0
lithuania-w,70.04545455,1400.0
lithuania2,65.90909091,1200.0
luxembourg,70.04545455,1400.0
mexico,53.5,600.0
mongolia,53.5,600.0
netherlands-u17,65.90909091,1200.0
netherlands-u23,70.04545455,1400.0
netherlands2,65.90909091,1200.0
netherlands3,61.77272727,1000.0
netherlands4,57.63636364,800.0
nzihl,61.77272727,1000.0
nzwihl-w,61.77272727,1000.0
scotland-u16,57.63636364,800.0
scotland-u19,70.04545455,1400.0
norway,90.72727273,3100.0
norway-other,57.63636364,800.0
norway-u16,65.90909091,1200.0
norway-u16-2,61.77272727,1000.0
norway-u16-3,57.63636364,800.0
norway-u18,74.18181818,1700.0
norway-u18-2,70.04545455,1400.0
norway-u18-3,65.90909091,1200.0
norway-u20,82.45454545,2400.0
norway-u20-2,78.31818182,2000.0
norway-u21,82.45454545,2400.0
norway-w,90.72727273,3100.0
norway2,82.45454545,2400.0
norway2-w,82.45454545,2400.0
norway3,78.31818182,2000.0
norway4,74.18181818,1700.0
norway5,70.04545455,1400.0
norway6,65.90909091,1200.0
norway7,61.77272727,1000.0
mihl-phi,49.36363636,500.0
phihl,53.5,600.0
eehl,16.27272727,0.0
euhl,16.27272727,0.0
poland,70.04545455,1400.0
poland-other,49.36363636,500.0
poland-u16,65.90909091,1200.0
poland-u18,70.04545455,1400.0
poland-u20,74.18181818,1700.0
poland-w,70.04545455,1400.0
